train_acc,train_loss,val_acc,val_loss
0.02130526315789474,4.4341755,0.0396,4.2286015
0.04227368421052632,4.1854954,0.0592,4.084481
0.05301052631578947,4.094503,0.0432,4.3109746
0.07098947368421053,3.9862096,0.09440000000000001,3.8550632
0.08886315789473684,3.8872633,0.08120000000000001,4.029414
0.10149473684210528,3.8219655,0.10200000000000001,3.7845
0.1149263157894737,3.7422528,0.1328,3.6168563
0.12216842105263158,3.6828058,0.09759999999999999,3.7627914
0.13324210526315788,3.632617,0.14679999999999999,3.5547228
0.14494736842105263,3.5617208,0.1532,3.4570484
0.15576842105263156,3.506994,0.10400000000000001,4.6587605
0.17153684210526315,3.4351978,0.17920000000000003,3.3151178
0.17922105263157895,3.386223,0.15839999999999999,3.54709
0.18719999999999998,3.3420775,0.17600000000000002,3.362978
0.20107368421052632,3.2811015,0.22,3.1683526
0.2049684210526316,3.2479997,0.154,3.6325898
0.21477894736842107,3.2050714,0.22560000000000002,3.1321197
0.2238315789473684,3.1544583,0.22759999999999997,3.1171377
0.2271157894736842,3.133581,0.14320000000000002,4.0690355
0.23760000000000003,3.087313,0.2508,3.0103664
0.24103157894736843,3.0479848,0.20920000000000002,3.1896014
0.2474105263157895,3.0376918,0.2404,3.0381732
0.25362105263157897,2.9869983,0.256,2.929077
0.2613684210526316,2.9619668,0.24200000000000002,3.106308
0.2657684210526316,2.9333234,0.2752,2.8840609
0.27345263157894734,2.900291,0.2736,2.9235482
0.27235789473684213,2.8935726,0.2228,3.350915
0.28075789473684215,2.8506784,0.29000000000000004,2.810102
0.28665263157894744,2.8229935,0.23040000000000002,3.1126075
0.2874315789473684,2.824122,0.27480000000000004,2.8683834
0.2943789473684211,2.7815826,0.3064,2.7426286
0.29922105263157894,2.758486,0.22759999999999997,3.230123
0.3023157894736842,2.7450056,0.2932,2.7664073
0.30749473684210527,2.721625,0.3028,2.7249448
0.3102526315789474,2.7092671,0.2852,2.8251224
0.3145263157894737,2.6893365,0.3144,2.67819
0.31976842105263154,2.6595595,0.29040000000000005,2.7813413
0.3156842105263158,2.6687176,0.30079999999999996,2.7564776
0.326,2.6221025,0.33039999999999997,2.5897224
0.3292421052631579,2.611271,0.22759999999999997,3.457958
0.32981052631578944,2.5980911,0.31679999999999997,2.6265662
0.33762105263157893,2.567571,0.31720000000000004,2.6453261
0.33631578947368423,2.566528,0.2536,3.0723982
0.34555789473684206,2.534247,0.34759999999999996,2.499895
0.34770526315789474,2.513075,0.31560000000000005,2.665888
0.3472,2.5176218,0.336,2.6053588
0.35330526315789473,2.4785416,0.358,2.497529
0.35444210526315784,2.4713554,0.3044,2.761528
0.35538947368421053,2.4716032,0.3432,2.494716
0.36572631578947373,2.4308145,0.35159999999999997,2.4974606
0.36185263157894737,2.4354246,0.28800000000000003,2.8718405
0.36922105263157895,2.4142096,0.3731999999999999,2.4336014
0.3698105263157895,2.4024727,0.32919999999999994,2.6711397
0.37157894736842106,2.3982599,0.3396,2.5958703
0.37528421052631583,2.3688257,0.37879999999999997,2.3850873
0.37833684210526314,2.3660166,0.3084,2.780211
0.379978947368421,2.357112,0.36840000000000006,2.4063127
0.38332631578947374,2.338326,0.382,2.3694277
0.3838105263157895,2.3397307,0.3156,2.6929495
0.38894736842105265,2.3170354,0.386,2.3610966
0.39063157894736844,2.3016393,0.35719999999999996,2.4641824
0.38869473684210526,2.3058596,0.35519999999999996,2.4750326
0.3969684210526316,2.279275,0.3852,2.3387635
0.39873684210526317,2.266362,0.33,2.6862
0.39618947368421054,2.270848,0.38800000000000007,2.3957984
0.40237894736842106,2.2446885,0.3864,2.3646886
0.4025684210526316,2.2484727,0.3432,2.6175787
0.4069684210526316,2.2328346,0.39559999999999995,2.308337
0.40837894736842106,2.2204275,0.3256,2.736765
0.40802105263157895,2.2261317,0.3848,2.3433936
0.4110315789473684,2.2081573,0.40919999999999995,2.2722228
0.4130947368421052,2.2003968,0.2588,3.2515955
0.41221052631578947,2.1992242,0.3984,2.2534094
0.4236842105263158,2.1681266,0.3872,2.337339
0.4182947368421053,2.1778193,0.37760000000000005,2.4134703
0.4215157894736843,2.1683407,0.40840000000000004,2.2217555
0.425221052631579,2.1535633,0.3667999999999999,2.5038793
0.4236842105263158,2.158852,0.3752,2.4091055
0.4295368421052632,2.124773,0.41879999999999995,2.2113757
0.42734736842105264,2.1326127,0.3712,2.4647017
0.4249684210526316,2.1409924,0.4064,2.2695107
0.4332842105263158,2.1153314,0.41680000000000006,2.196198
0.43214736842105267,2.1172652,0.3568,2.4956574
0.43290526315789474,2.1050782,0.41960000000000003,2.2013438
0.43646315789473683,2.0898345,0.3712,2.4531887
0.43370526315789476,2.1015017,0.384,2.3602247
0.44256842105263156,2.0692976,0.4195999999999999,2.1601493
0.44305263157894736,2.0693102,0.3488,2.5994067
0.44543157894736846,2.0700312,0.4164,2.2044413
0.4457684210526316,2.051065,0.424,2.1784434
0.4439368421052632,2.058442,0.36800000000000005,2.5258079
0.4475578947368421,2.0475655,0.4232,2.1388967
0.45256842105263156,2.0335712,0.40800000000000003,2.2501538
0.4491368421052631,2.0432763,0.4012,2.2450476
0.45541052631578943,2.0228841,0.42879999999999996,2.1442146
0.45311578947368425,2.0206225,0.3772,2.3943827
0.45301052631578953,2.0258036,0.4276,2.158989
0.4566526315789474,2.008194,0.42560000000000003,2.1776426
0.4549052631578947,2.0031486,0.38239999999999996,2.3632727
0.45690526315789476,2.0005798,0.4328,2.1033149
